Bicep Circumference,Hand Length,Hand Breadth,Weight,Grip Strength,Gender
41,19,9,250,69.9,M
42,19,9,190,54.6,M
40,18,9,190,51.1,M
28,17,8,170,28.6,F
28,16,8,160,38.2,F
38,18,8,180,47.4,M
37,18,9,160,62,M
35,17,9,140,46.6,M
31,18,9,140,37.8,M
37,17,9,210,50.2,M
35,19,9,177,49.1,M
34,18,10,185,58.6,M
27,17,9,160,43.7,M
28,15,7,130,28,F
29,17,9,160,43,M
36,18,9.5,220,66.7,M
35,18,10,176,53,M
38,18,9,198,46.8,M
34,18,10,211,46.8,M
31,18,9,160,34.7,M
35,18,9,165,38.9,M
30,16,8,175,29,F
27,16,8,131,27.3,F
